,Unnamed: 0,Review,Ratings
195,195,Thik thak product he iss price me but thoda slow he .....,3
196,196,Technical issues,3
197,197,SSD is  237 only not mentioned as 256,3
198,198,Display is not good,3
199,199,Light weight and faster booting,3
200,200,It is best for normal use,3
201,201,Decent Laptop,3
202,202,Its ok but seller is lier,3
203,203,Overall an average laptop by the asus,3
204,204,"No doubt the speed is like i3 processor, but…",3
207,207,Charger needs betterment,3
208,208,Display,3
209,209,Met expectations,3
210,210,Bad display.,3
211,211,Product Defective,3
212,212,Adaptor received without two pin attachment,3
213,213,having lag problem while using,3
214,214,Thanks,3
215,215,Laptop is not good work,3
216,216,Check booting issues,3
218,218,Lies of Amazon Prime Day sale. Fooling customers big time with Prime day sale.,1
219,219,Don't buy any products from Amazon WORST service,1
220,220,Please dont buy. Very bad Laptop,1
221,221,Asus laptop don't buy,1
222,222,OS crashed after restarting the first time,1
223,223,The product is really really bad,1
224,224,Got Sratched Laptop,1
225,225,Affordable but not worth!!,1
226,226,Very slow!,1
227,227,Not bad,1
230,230,Laptop is not working,1
231,231,Bad,1
232,232,Heating issue on charger pin as well laptop,1
233,233,Battery failure. Laptop works only in dir power. Not working in battery,1
234,234,100 Worst product,1
235,235,Damaged laptop,1
236,236,Stopped working after 6 months,1
237,237,Problem in charger (adapter),1
238,238,Slow,1
239,239,Very slowing while working on Excel document,1
242,242,not good for video editing,1
243,243,Not good,1
244,244,bad processor,1
245,245,Worst product! Problems started showing from day 1,1
246,246,Not Good..,1
247,247,Utterly disappointed,1
248,248,Not good,1
249,249,Crap product - Beware of the seller,1
250,250,"worsr brand, keyboards starts malfunctioning",1
251,251,Avoid this to save your money,1
254,254,Very slow laptop 💻,1
255,255,This laptop is waste of money,1
256,256,not recommendable,1
258,258,Very good laptoo at 24k price,5
259,259,Overall a good deal,5
260,260,Perfect laptop for moderate users,5
261,261,Value For Money from ASUS,5
262,262,Nice Product 🎉🎉,5
263,263,Value for money.,5
264,264,Great Laptop Under 30K,5
265,265,Great lappy for getting day to day work done.,5
266,266,Suitable for online classes,5
267,267,Awesome buy,5
270,270,"It’s Wow, Quite a Piece!! Big Definite, Yes :)",5
271,271,Nice Laptop for the money,5
272,272,Best in this range,5
273,273,Value for Money,5
274,274,Excellent product,5
275,275,It does the job,5
276,276,Superb laptop,5
277,277,Great Price for Upgrade,5
278,278,Good budget laptop.,5
279,279,Best in this price,5
282,282,Feeling happy,5
283,283,Value for money,5
284,284,It's a best Budget buy. I feel satisfied with this purchase,5
285,285,Awesome hai,5
286,286,Best laptop asus,5
287,287,Good looks and best product for students and for normal usage,5
288,288,"Hilarious machine , loved it 🥰🥰",5
289,289,Don’t install games,5
290,290,"Good to use for online classes, movies, some basic softwares.",5
291,291,Good performance,5
294,294,"Price should be below 24,990.",5
295,295,Best laptop in this segment,5
296,296,Amazing device at ths price range,5
297,297,Great laptop in this price range,5
298,298,Completely comfortable very nice product screen nice full plastic body work smoothly work,5
299,299,Go for it,5
300,300,Excellent,5
301,301,Very good Smooth and easy to use,5
302,302,Superb product,5
303,303,The price is amazing,5
306,306,Good,5
307,307,Best thing in this price for study and classes.,5
308,308,Value for money..,5
309,309,great product,5
310,310,Perfect for student use for price paid,5
311,311,They are giving original product,5
312,312,Super,5
313,313,My laptop,5
314,314,Best in this price range...,5
315,315,Super quality product,5
318,318,Best,5
319,319,Awesome in this Price Range,5
320,320,Awesome... Value for money.,5
321,321,Value for money,5
322,322,Good product 👌,5
323,323,DRx,5
324,324,Amazing,5
325,325,In this Price range this one is better for lenevo same feature i think you should buy this one lappy,5
326,326,So beauty laptop,5
327,327,Best choise,5
330,330,Good buy,5
331,331,Awesome,5
332,332,Nice,5
333,333,Working performance,5
334,334,Best laptop in this price,5
335,335,Very good product,5
336,336,Very good product,5
337,337,Ssd Laptop,5
338,338,Very good product  value for money,5
339,339,Best Laptop for Student,5
342,342,Pretty awesome,5
343,343,Review,5
344,344,SSD VERY FAST,5
345,345,Spr,5
346,346,Wonderful,5
347,347,value for money,5
348,348,Nice in this price ver good laptop,5
349,349,Battery is good.. It's been a week I'm using it. Happy with the product,5
350,350,No hanging problem best for office work,5
351,351,I like this laptop,5
354,354,Good for students,5
355,355,Nice laptop in budget and also nice design but when is on it on to late,5
356,356,Good one with reasonable price,5
357,357,Superb Buy,5
358,358,Excellent product at n affordable price range...,5
359,359,SSD in this price segment awsm,5
360,360,Very nice laptop for students and office workers,5
361,361,Very good product in this Price ☺️...😍🥰,5
362,362,Excellent,5
363,363,GOOD,5
366,366,Value for money,5
367,367,Excellent laptop,5
368,368,Best in this prize range,5
369,369,Great Product I'm Satisfied with this.,5
370,370,Good quality,5
371,371,It's. Good products &amp; very fast,5
372,372,Ok,5
373,373,Nice looking laptop,5
374,374,Gud laptop for low price,5
375,375,Slim,5
377,377,Budget laptop,4
378,378,I got in 23k,4
379,379,"Ok ok laptop , for light office application use only",4
380,380,Recommend Laptop under 23K for daily use.,4
381,381,Happy with the purchase.,4
382,382,Overall Good Product,4
383,383,Good for basic work,4
384,384,Problem with windows Key activation,4
385,385,VFM,4
386,386,Very nice product in a affordable price,4
389,389,Problem my laptop sd card reader no,4
390,390,Light weight. Memorywritten 256 but you can use 198.,4
391,391,Amazing,4
392,392,"Nice laptop under the price segment, best for student for online class and day to day use",4
393,393,Good enough,4
394,394,"The product is good, cheap and best",4
395,395,Best in budget,4
396,396,Looks very good and superb 👍,4
397,397,Charger bad,4
398,398,Value for money.,4
401,401,Overall good product,4
402,402,Value for money,4
403,403,"You can get this laptop, the quality is very good and it is also easy to use",4
404,404,VALUE FOR MONEY UNDER 25K,4
405,405,Good laptop worthy and value for money,4
406,406,Good product,4
407,407,Good For BILLING,4
408,408,It looks very premium,4
409,409,Need to improve the display and camera quality and also want to reduce the weight 1.4 kg is perfect,4
410,410,Look Weight,4
413,413,Perfect for carry out only,4
414,414,The best in the segment,4
415,415,Good for students,4
416,416,😜💯💯,4
417,417,Not a good buy,4
418,418,Best match for Daily online meeting and MS office work.,4
419,419,Nice at this price range but the charger gets hot after 30 mins of charging,4
420,420,Front camera cleartiy is so poor,4
421,421,It's good under 25k,4
422,422,Nice,4
425,425,It is awesome in 23k. Mouse is very sensitive.,4
426,426,Good product,4
427,427,Best Laptop Under 23K,4
428,428,Impressive,4
429,429,"Light Wait, Sound,",4
430,430,Good Product,4
431,431,Good laptop for students,4
432,432,Value for money,4
433,433,No,4
434,434,Average,4
437,437,Intel ka chips,4
438,438,Perfect laptop for online class,4
439,439,Average,4
440,440,Good for beginners,4
441,441,Recommended ryzen 3,4
443,443,Don't buy this laptop,2
444,444,Cheap plastic but good performance,2
445,445,Within 1 year I got hinge problem....It is found in almost all ideapad models..,2
446,446,Ms office showing unlicensed!,2
447,447,Not good,3
448,448,This laptop has bad display,3
449,449,Poor display / screen output ; avoid this machine,1
450,450,Not good keyboard of this product,1
451,451,Because of buy the product from you online they were list bother,1
452,452,Absolutely worst,1
453,453,Hardware is not good,1
454,454,not good as expected,1
455,455,Poor Build Quality - Bezel issue with in 6 months,1
456,456,Amazon is sending refurbished item,1
457,457,bad product I saw in my life,1
458,458,One of the hated items in life . If am able to meet with dealer I don't know what will happen,1
461,461,Fraud seller,1
462,462,WORST BRAND FOR LAPTOPS,1
463,463,Lenovo Laptop delivered on 9/7/21,1
464,464,Buy lenovo laptop with your own risk.,1
465,465,Worst Drawback RAM can not be upgraded confirmed by Lenovo Customer Support,1
467,467,Can go for it without hesitation. 👍🏻,5
468,468,powerful lenovo,5
469,469,perfect for college students,5
470,470,Good for software development,5
471,471,Loved it so far.. will update review after using for a few months,5
472,472,Worth the money 😊,5
473,473,good performance,5
474,474,The perfect one as of now for college students,5
475,475,"Good one, I really love this. Inbuilt Alexa is good one. It's fast and efficient",5
476,476,Great laptop.,5
479,479,Nice laptop,5
480,480,Suprb,5
481,481,Good,5
482,482,A great laptop for everyday use.,5
483,483,Best in price,5
484,484,Good product,5
485,485,OVERALL GOOD MACHINE IN 70K,5
486,486,Delightful.........  great for personal use and gaming,5
487,487,Nice easy operat,5
488,488,Awesome,5
490,490,You can go for it!... the combination of specifications is truly good.,4
491,491,Adequate configuration for everyday home use,4
492,492,Screen quality not that good,4
493,493,Nice,4
494,494,Value for money,4
495,495,Overall pretty satisfied,4
496,496,Beast of a machine,4
497,497,Not recommended,2
498,498,Instead check for omen ryzen 5. It has a better battery and higher graphics at same price,2
499,499,Same charging problem problem with this laptop like other hp laptops,2
500,500,Not worth the cost,2
501,501,Overpriced,3
502,502,Extremely pricey compared to Acer and Asus,1
503,503,HP Gone Mad,1
504,504,Very Over priced,1
505,505,Pricing,1
506,506,Must Read. Defect after two weeks of usage. Horrible Customer Service.,1
507,507,Unable to detect Boot device,1
508,508,Battery issues,1
509,509,Overpriced at 134999,1
510,510,Higher price for lowest configuration,1
511,511,overpriced,1
514,514,Overpriced priced under performer AKA Intel,1
515,515,PLEASE DON'T BUY THIS AT 1LAKH.,1
516,516,Don’t buy any hp omen laptop,1
517,517,Not much good,1
519,519,Go for it,5
520,520,Value for money,5
521,521,Review after a month of use,5
522,522,Very good to use and delivered very fast,5
523,523,AWESOME LAPTOP,5
524,524,Performance wise good product,5
525,525,Microsoft issue,5
526,526,It's worth it overall!,5
527,527,Winner laptop for designers,5
528,528,Awesome product!!! OMEN 15,5
531,531,Best cooling in this segment,5
532,532,"Product is nice,worth the money 💰,just go for it👍🏻",5
533,533,Awesome laptop. Go for it.,5
534,534,Thin &amp; efficient,5
535,535,Good,5
536,536,Portable machine with performance more than ultrabook,5
537,537,Best Gaming laptop,5
538,538,Best gaming laptop,5
539,539,Hp omen i5 model review,5
540,540,Better buy from HP World or authorised resellers,5
543,543,good to go for gaming laptop in good brand as well as in intel processor,5
544,544,Monster,5
545,545,Extremely overpriced by the seller Computronics Multivision Pvt. Ltd..,5
547,547,AMAZING laptop just a little overpriced..,4
548,548,Purchase if you want Intel and longitivity,4
549,549,Additional warranty,4
550,550,Worst exhaust placement and heavy,2
551,551,Affordable Laptop for Casual gaming but buy at own risk,2
552,552,Decent Laptop if u are not into games,3
553,553,Thermal,3
554,554,Screen display quality is underwhelming,3
555,555,Defective and damage products,1
556,556,Dont buy,1
557,557,Worst battery life,1
558,558,One of the Best in the Price Range,5
559,559,Superb,5
560,560,If u r a programmer just go for it. It will satisfy u,5
561,561,Seems worth the investment. Solid product.,5
562,562,Impressed,5
563,563,Best overall laptop on this price range!!,5
564,564,Built well,5
565,565,Best machine if you need high performance.,5
566,566,For Entry level gamers,5
567,567,Best choice for multi usage,5
570,570,Beast 🔥🔥,5
571,571,Beast under 60K.,5
572,572,Powerful,5
573,573,Good Laptop,5
574,574,Value for money,5
575,575,Must buy,5
576,576,Nice laptop,5
577,577,The best in this price.,5
578,578,Lenovo IdeaPad gameing,5
579,579,Must buy,5
582,582,Performance,5
583,583,Value for money,5
584,584,Besttt,5
585,585,Best in the price range,5
586,586,Privce,5
587,587,One of the Best in the Sub 62-63k Segment,5
588,588,Performance packed beast🔥,5
589,589,"The build quality, speed and pricing are great",5
591,591,"Great product, but beware of the seller!",4
592,592,Works like a charm but a few cons.,4
593,593,THIS LAPTOP IS THE BEST,4
594,594,Value of money,4
595,595,Best laptop under 60k,4
596,596,Overall good,4
597,597,Awesome performance,4
598,598,Nice but not a gaming lsptop look,4
599,599,Cheap in price according to other laptops,4
600,600,Heating in 5 sec use,2
601,601,battery not completely no fast discharge,2
602,602,Bad camera,3
603,603,Not able to Edit any word document. It says unauthorizes MS office,1
604,604,Local battery in new laptop,1
605,605,Flicking screen very badly,1
606,606,Expecting laptop bag,1
607,607,Bad product,1
608,608,Not functioning from very first day...,1
609,609,System hanged,1
610,610,Ok but not good,1
611,611,Very Poor laptop,1
612,612,It is getting hang on 1st day,1
615,615,Webcam not working,1
616,616,Worst customer experience,1
617,617,Really light weight and key are responded very well.,1
618,618,Full amount debited payment option select emi,1
620,620,Pretty good for the price,5
621,621,Compact &amp; Quick,5
622,622,Amazing Product,5
623,623,Very Good product in Budget,5
624,624,Good laptop for students and professionals.,5
625,625,Good one for school student !!,5
626,626,Very good product,5
627,627,Wonderful product,5
628,628,valuable,5
629,629,A very good laptop for a student for online education.,5
632,632,"light weight, quick boot",5
633,633,nice collection with good battery backup,5
634,634,Amazing laptop,5
636,636,Performance.,4
637,637,Great performance.,4
638,638,Camera is very bad quality,4
639,639,There is no problem at all except the sound of fan and the light of the screen,4
640,640,Amazing,4
641,641,Good for professional use.,4
642,642,Good laptop to buy,4
643,643,Product is good but charging is faulty,4
644,644,Good laptop but takes long to load apps.,4
645,645,Touch pad issue,2
646,646,Good,3
647,647,Outside is good. But not able to use it as it is loading since half an hour,3
648,648,Overall good except camera quality please suggest how to improve,3
649,649,I want to return it,1
650,650,Very poor quality screen video for any video call.,1
651,651,"Don't buy it and if you didn't like, the company has no return policy and quality is too poor.",1
652,652,On hi nai hua,1
653,653,Very bad experience with the product and Not satisfied at all.,1
654,654,Not good if it product not taken but refund not given so hurting me me loss of money in me,1
655,655,No resell value,1
656,656,It is very waste product,1
657,657,Bad product in coumputer,1
658,658,Very very slow operation,1
661,661,Mobile,1
662,662,Worst,1
665,665,Good basic multitasking laptop within a reasonable price,5
666,666,Not being a high end laptop does the job.,5
667,667,Compact. Fast. Efficient.,5
668,668,Good,5
669,669,Everything is perfect just use linux for better performance,5
670,670,Good Product at this range,5
671,671,Not value of money,5
672,672,Good one,5
673,673,Lifetime free Ms office,5
674,674,Good,5
677,677,there is issue with battery backup,5
678,678,Very very very very good product,5
679,679,Nice look,5
680,680,Very good product,5
682,682,Super Value,4
683,683,Very good,4
684,684,lenovo brand,4
685,685,Not for online Video chat,3
686,686,It always goes into restart by its own,1
687,687,Very bad experience with dell,1
688,688,Pathetic product,1
690,690,Budget Friendly..,4
691,691,"Well, the product is good",4
692,692,Just a waste of money! :(,2
693,693,Bad screen. Poor Quality Control. Hardware Issues. Avoid this particular Chromebook model from HP.,2
694,694,Don't go for it,2
695,695,Not user friendly,2
696,696,waste of time,2
697,697,It's good for kids but not at all useful for office work.  It's big version of mobile.,2
698,698,Dont buy if you looking laptop for office use,2
699,699,"camera quality is not bad, it is very very bad",2
700,700,Local software not supported,2
701,701,Disappointed with product,2
704,704,very good product but touch screen issue found,2
705,705,Unable to support genuine apps,2
706,706,Don't  buy.,2
707,707,Ms office has purchase,2
709,709,Beginner's Review,3
710,710,My experience after 2 days of usage,3
711,711,Overpriced - Underpowered chromebook - Avoid,3
712,712,Not recommended for office use,3
713,713,"Good build quality, but very poor keyboard design.",3
714,714,Good with hardware but not very user friendly for windows users.,3
715,715,"Good for online surfing, binge watching and light use if Excel/Word",3
716,716,toggling between applications is just super fast &amp; overall weight is super light,3
717,717,Ok,3
718,718,Product quality is not as expected,3
721,721,Backspace is not working.,3
722,722,Worthy value.,3
723,723,Feedback,3
724,724,Not so bad as per price,3
725,725,Made up of plastic fiber,3
727,727,"Yellow screen, bad viewing angles!",1
728,728,A compromised experience,1
729,729,Not worth for the asking price,1
730,730,Worthless piece in the name of a laptop,1
731,731,"Don’t buy , waste of money",1
732,732,Chromebook not a matured product yet,1
733,733,Poor performance and display quality is poor,1
734,734,Pls take this laptop return,1
735,735,Avoid. Bad product. Service is worse.,1
736,736,HP chrome laptop,1
739,739,It is my humble request don't buy any kind of Chromebook or notebook,1
740,740,MS office and Desktop not exist,1
741,741,Don't buy this,1
742,742,Don't buy,1
743,743,Waste of money.... Please don't buy,1
744,744,Waste products,1
745,745,Poor product.,1
746,746,HP product quality and technical services are poor,1
747,747,Better avoid buying this product,1
748,748,Never buy &amp; should be removed from site,1
751,751,Strongly do not buy it,1
752,752,Worst laptop,1
753,753,Not required chrome book,1
754,754,Defective product,1
755,755,Fake product not an laptop,1
756,756,"Laptop is most probably OK, but screen is too bad",1
757,757,System keeps restarting,1
758,758,We have been duped . We should have gone for window based laptop. Regretting a lot,1
759,759,No chrome os and it is very difficult to do using various options..,1
760,760,Waste of innovation,1
763,763,Worst worst worst,1
764,764,Buy it for 24k or near!,1
765,765,Bad product,1
766,766,Wasted Purchase...,1
767,767,Best avoided.,1
768,768,Not useful,1
769,769,Defective and Useless laptop,1
770,770,Mike and camera problem,1
771,771,not update i windows,1
772,772,Crashed within a month.,1
775,775,Waste of Money,1
776,776,Product got damaged within 4 month of purchase After sale service is very bad,1
777,777,Waste of money,1
778,778,Poor service 😢,1
779,779,Very bed laptop .,1
780,780,Worst,1
781,781,Waste Product my self,1
782,782,Very bad dont buy this laptop 💻,1
783,783,third class product,1
784,784,This laptop is of not usefull and it's serivce request manage to exchange it or resale it,1
787,787,Useless thing don't go for it if you want a laptop,1
788,788,Waste of money 💰,1
789,789,This product was very poor and not buy,1
790,790,Worst worst worst. Want to return but no option,1
791,791,"Worst laptop, No Return Policy",1
792,792,Not worth,1
793,793,very slow processing,1
794,794,Chrome OS - You will end up replacing or installing windows 10 which is next to impossible.,1
795,795,Absolutely useless product hopeless service from Amazon,1
796,796,The product is damaged,1
799,799,Don’t buy this product,1
800,800,Very bad,1
801,801,Keypad stopped working,1
802,802,Bad quality products,1
803,803,Not a laptop. This is mobile phone.,1
804,804,Very Very Bad,1
805,805,Worst,1
806,806,Screen not good,1
807,807,Don't bye,1
808,808,Too many limitations,1
811,811,Bad,1
812,812,Wrost,1
813,813,Bad,1
814,814,Touch screen not working,1
815,815,Useful only for chrome users,1
816,816,Worst experience,1
817,817,Screen gone only after 20 of usages.,1
818,818,Bad,1
819,819,Product is good but Don't buy it from Amazon,1
820,820,Absolute rubbish. Please read this fully before buying any HP Product,1
823,823,Please never buy hp laptop,1
824,824,Not 1080p display,1
825,825,"Don't buy this HP Chromebook no value for money whatsoever,  complete Disappointment!!",1
826,826,256GB expandable is true or just a joke?,1
827,827,Camera quality is very poor,1
828,828,Worst in Amazon don't buy any electrical items,1
829,829,Cannot upload MS Office on it,1
830,830,HP service is worse.,1
831,831,The screen touch is not good,1
832,832,Waste of Money,1
835,835,Worst laptop not worth,1
836,836,Worst Product,1
838,838,Touch screen and user friendly,5
839,839,Great Product,5
840,840,Bang for the Buck!,5
841,841,Nice product,5
842,842,Don’t miss just mind blowing,5
843,843,A solid entry level chromebook,5
844,844,Good Product with some cons but better than other laptops in this segment.,5
845,845,"This is an affordable laptop, for basic needs",5
846,846,Android tablet with keyboard.!,5
847,847,Effective for education purpose +touchscreenib 28000 only wow,5
850,850,Affordable for students !,5
851,851,Good,5
852,852,Gooood,5
853,853,Awesome!,5
854,854,Best in the segment!,5
855,855,Great choice for portability,5
856,856,Good,5
857,857,Superb Laptop!!!!,5
858,858,Excellent performance 👏,5
859,859,Excellent.and value for money.,5
862,862,Amazing product,5
863,863,Not able to redeem free 100 gb drive,5
864,864,Excellent device for Kids looking to take online Classes.,5
865,865,A very valuable product for online studies.,5
866,866,Quick resolution of complaint,5
867,867,Amazing for teachers in this pandemic...,5
868,868,Bang for the buck except storage issues,5
869,869,Efficient laptop,5
870,870,Awesome for kids and their classes,5
871,871,"Nice if you buy big android phone in 15 """,5
874,874,The right combination modern laptop,5
875,875,perfect,5
876,876,Good product at the price range,5
877,877,Great for light work !,5
878,878,This is best chromebook of hp,5
879,879,Awesome,5
880,880,Good one,5
881,881,Verry nice,5
882,882,All are perfect but screen is not support 1080p hd,5
883,883,Good for the price,5
886,886,Bettery power pack,5
887,887,"Simple, Fast and useful",5
888,888,Perfect,5
889,889,I like the laptop so much ☺️,5
890,890,Useful for online lecture,5
891,891,"Its more than your phone, less than a laptop. Which is what I wanted.😍",5
892,892,Very nice,5
893,893,Screen,5
894,894,Osum,5
895,895,Worth of money,5
898,898,Good,5
899,899,Nice for basic use like school online class and basic surfing,5
900,900,"GGOD BUT NEED A FEW DETAILS IN SETTING , ALSO WANT TO MAKE IMMEDIATE FULL PAYEMTN NOW",5
901,901,Helpful,5
902,902,Awesome,5
903,903,Awesome product,5
904,904,Super,5
905,905,Good quality 👍,5
906,906,"Good, unique",5
907,907,Good product,5
910,910,Great buy!!,5
911,911,Best budget chromebook,5
912,912,Exchange offer was awesome,5
913,913,Worst product,5
914,914,Only For Student propose,5
915,915,Good to buy,5
916,916,Kulkeshwar04,5
917,917,Good product. Highly recommended for school and online classes.,5
918,918,Value for money,5
919,919,Useful product,5
922,922,Lite.,5
923,923,All keys are handy!,5
924,924,"can be attached with my old printer ""Canon LBP2900"", I tried to attach it but couldn't succeed.",5
925,925,The time to start. Touch screen.,5
926,926,The problem is that it was broken the keys were broken,5
927,927,Very Bad product,5
928,928,.,5
929,929,Perfect for home use and for kids,5
930,930,Bang for the Buck,5
931,931,Nice,5
934,934,Good for online classes.,5
935,935,Excellent Chromebook for lighter usage,5
936,936,Best laptop in this price range,5
937,937,Good,5
938,938,Useful,5
939,939,Sleek and light weighted,5
941,941,Warranty and receipt missing,4
942,942,i would tell you it is a best laptop for students................,4
943,943,Good product from HP,4
944,944,Not Bad,4
945,945,Chromebook does not allow you to sideload apps from storage.,4
946,946,Ultra light Chrome Os based basic task machine,4
947,947,Best option to consider at this price point,4
948,948,Awesome at that price,4
949,949,Worth a try for basic use,4
950,950,Good for Kids Education - Online class,4
953,953,Great for basic computing,4
954,954,Worth for given money,4
955,955,Warranty slip is missing,4
956,956,is a wonderful product,4
957,957,Best in class,4
958,958,Good product at low price,4
959,959,Decent one for school kids,4
960,960,Good,4
961,961,Its not at all Laptop...not user friendly for windows users. Light weight,4
962,962,This is not a SSD hard disk.,4
965,965,Good laptop for students and can be useful for aspirants,4
966,966,Keyboard light is not there otherwise okay,4
967,967,Worth of money.,4
968,968,Didn't get 3 USB port as mentioned in discription,4
969,969,Comfortable Price,4
970,970,"Don,t buy this laptop the camera is very poor",4
971,971,Nice chrimenbook,4
972,972,Nice,4
973,973,Better than a regular laptop at this price range.,4
974,974,Online classes,4
977,977,Light weight and fast booting,4
978,978,Good product purchased,4
979,979,It's good,4
980,980,Value for Money,4
981,981,Best for students for online schooling----review after 1year of usage,4
982,982,Worth it,4
983,983,Chromebook,4
986,986,Good chrome book,5
988,988,Regret this purchase,2
989,989,Avg quality,3
990,990,Annoying touchpad,3
991,991,Battery backup is low,3
992,992,Don't buy,1
993,993,Laptop is good but seller is not,1
994,994,It didn't deserve a single star also... very worst product from the reputed company,1
995,995,Worst laptop ever,1
996,996,Don't buy it,1
